Consulta 1:
152 10 H
151 1 M
7 13 H
24 13 M
155 2 H
160 2 H
70 2 H
109 13 M
7 1 H
135 2 H
0 7 H
163 10 H
41 10 H
61 8 M
52 9 H
78 5 M
80 3 H
127 9 H
160 7 M
75 9 H
16 1 M
5 11 M
158 9 H
138 11 M
16 8 M
121 2 H
114 3 H
89 4 M
96 14 M
120 10 H
124 3 H
10 8 H
69 13 M
158 2 H
0 7 H
141 9 H
141 8 M
144 4 M
Consulta 27:
220 1 M
110 28 M
40 4 M
135 32 M
45 8 M
230 25 H
0 17 H
95 41 H
170 16 H
150 25 M
45 20 H
90 26 M
80 2 M
75 10 M
95 22 M
205 44 M
50 30 M
5 41 M
250 15 M
180 25 H
5 25 M
250 42 H
15 34 M
180 13 M
100 14 M
190 18 M
15 19 H
185 15 M
30 8 M
155 16 M
30 22 M
245 11 M
0 3 M
255 16 M
210 39 M
165 7 H
25 1 H
45 26 M
230 2 M
210 22 H
235 17 M
60 33 M
75 2 H
15 31 M
270 17 M
150 14 M
215 23 M
195 10 M
0 31 M
205 34 M
155 26 M
235 12 H
175 11 H
0 9 H
35 5 M
60 7 M
270 12 M
135 9 M
0 26 M
250 33 M
45 22 M
15 31 M
130 4 M
180 33 M
220 44 M
260 18 M
230 4 M
85 15 M
145 31 M
195 41 M
225 38 M
260 39 M
130 13 M
175 8 M
135 42 M
270 24 M
210 21 M
165 31 M
50 10 H
50 3 M
45 16 M
190 10 H
220 34 M
15 4 H
0 12 M
175 36 M
170 44 M
10 1 M
25 4 M
125 29 M
230 3 M
50 36 H
0 29 H
130 4 M
270 12 M
30 17 H
245 11 M
155 16 M
0 10 M
55 9 M
190 37 M
220 42 M
155 1 M
210 13 H
110 20 M
240 34 M
245 23 H
80 23 M
265 17 H
115 23 M
170 32 M
190 26 M
140 37 M
210 31 H
170 40 M
275 8 M
95 3 M
180 39 M
160 31 H
170 24 M
150 32 H
165 4 M
255 9 M
130 3 M
185 42 M
145 10 M
210 22 H
160 21 M
70 43 M
90 1 M
215 40 H
15 17 M
30 34 M
75 39 M
220 16 H
5 41 M
45 16 M
135 32 M
95 22 M
165 33 M
265 5 M
165 15 M
230 13 M
120 36 H
90 39 H
15 11 M
250 4 M
165 23 M
235 24 H
55 9 M
130 43 M
245 31 M
40 4 M
230 11 M
175 37 M
95 10 M
60 18 M
200 32 H
115 3 M
80 41 M
65 17 H
220 44 M
15 43 M
180 21 M
165 35 M
200 25 M
265 22 M
255 32 M
140 28 M
230 13 M
65 41 M
60 17 H
240 20 H
155 36 M
65 31 M
230 33 M
120 12 M
145 23 H
160 41 H
5 21 M
60 8 H
85 42 M
60 32 M
205 12 M
130 11 M
65 27 H
95 22 M
195 4 H
180 3 M
30 6 M
210 3 H
110 11 M
185 9 M
85 8 M
130 39 M
145 2 M
115 5 M
190 36 M
210 29 M
115 33 M
105 24 M
25 4 M
135 40 M
180 13 M
25 24 M
120 9 M
250 4 M
75 38 M
125 6 M
65 17 H
90 16 M
60 13 M
195 33 H
60 8 H
35 41 M
100 8 H
130 13 M
260 20 M
0 30 M
145 20 M
55 19 M
180 11 M
230 14 M
30 12 M
130 41 M
25 13 M
220 42 M
150 14 M
100 6 M
35 11 M
40 4 M
210 31 H
55 43 M
160 10 M
15 12 M
200 43 M
80 31 M
205 28 H
240 28 M
100 14 M
5 17 H
35 25 H
235 27 M
Consulta 28:
163 6 M
202 8 M
46 1 H
101 10 M
222 4 M
89 5 H
183 2 M
76 1 M
44 6 M
118 1 M
219 10 H
65 7 H
63 6 H
122 10 M
177 6 M
163 7 H
83 2 H
40 4 M
171 4 H
155 6 H
223 2 H
1 10 H
22 10 H
11 8 M
181 2 H
161 6 H
112 5 M
65 3 H
177 3 H
24 4 H
61 1 H
167 5 H
159 8 H
120 2 M
25 1 H
69 2 H
106 6 H
43 9 M
110 4 M
11 9 H
140 6 H
230 5 H
64 3 H
156 3 H
45 4 H
188 2 H
33 4 M
34 5 H
0 3 M
99 2 M
49 5 M
73 4 H
75 5 H
14 3 H
63 6 H
70 6 H
57 3 H
134 2 M
59 4 H
143 3 M
152 1 H
142 6 M
0 4 H
36 10 H
80 3 M
191 7 H
42 9 H
184 7 H
76 1 M
91 9 H
72 3 H
57 3 H
160 2 H
108 4 H
24 10 M
169 10 H
144 7 M
193 8 H
111 5 H
194 8 H
110 5 H
126 5 M
156 7 H
141 2 M
212 7 H
13 1 M
109 7 M
226 6 M
168 6 H
84 9 H
90 1 M
140 2 H
74 4 H
38 4 H
51 3 H
133 2 H
32 4 H
28 5 M
208 1 H
139 2 H
196 5 M
165 7 M
153 5 H
27 1 M
89 5 H
15 3 H
122 10 M
116 1 H
57 10 H
157 7 H
2 10 H
68 1 H
128 6 M
43 3 H
28 9 H
152 1 H
68 4 M
87 7 H
17 8 H
210 6 H
124 1 H
114 7 H
41 1 M
101 10 M
125 1 M
129 7 H
76 9 H
100 3 H
142 7 H
86 3 H
181 2 H
47 5 H
106 2 M
73 3 M
98 5 M
184 3 H
2 5 H
215 1 H
203 5 M
10 10 M
43 10 H
29 9 M
152 8 H
82 8 H
42 2 H
218 6 H
34 9 H
25 7 M
114 6 M
39 8 H
1 4 H
7 8 H
114 7 H
25 1 H
61 8 H
93 6 M
75 5 H
172 4 H
181 8 M
80 10 M
107 6 M
8 5 H
100 7 H
188 9 H
94 7 H
143 10 M
68 8 H
155 9 M
135 6 M
101 3 M
0 9 M
97 9 H
19 8 H
104 2 H
198 7 H
206 4 H
128 6 M
149 7 H
61 5 H
209 9 H
101 7 H
45 4 H
84 9 H
190 2 M
65 3 H
95 7 M
216 1 M
65 10 H
139 8 M
154 9 H
226 6 M
181 8 M
11 3 H
187 5 H
201 4 M
85 3 H
2 5 H
189 2 H
60 8 H
115 3 M
198 6 M
116 4 H
167 9 H
137 4 H
58 7 H
153 8 M
28 6 H
205 7 H
23 7 H
153 2 H
74 1 H
71 3 H
206 4 H
84 6 H
0 8 H
161 9 H
129 3 M
59 3 M
135 10 H
40 5 H
141 9 M
136 4 H
15 9 M
82 1 H
66 7 H
44 10 H
155 9 M
127 3 H
16 6 M
123 7 M
226 7 H
55 1 M
115 10 M
62 5 H
167 5 H
121 10 H
41 1 M
95 1 H
229 4 M
44 7 H
139 1 M
198 3 H
126 6 H
125 9 H
188 9 H
131 5 H
88 8 H
25 1 H
28 9 H
180 4 M
120 6 H
88 7 M
231 5 M
51 6 M
24 3 M
77 6 H
166 8 H
34 5 H
227 3 M
29 10 H
181 1 M
73 10 M
15 10 H
28 2 H
71 9 M
107 3 H
18 4 H
221 7 M
134 3 H
143 10 M
111 9 H
206 10 M
103 1 H
117 5 H
20 8 M
1 5 H
214 4 H
42 5 M
175 5 M
95 8 H
195 2 H
195 2 H
128 7 H
156 3 H
26 5 H
176 3 H
148 6 H
1 2 M
74 8 H
26 4 M
192 7 H
152 1 H
135 7 H
106 10 H
167 2 H
199 4 H
182 9 H
105 9 H
62 1 M
129 4 H
203 5 M
194 8 H
1 7 M
89 5 H
88 1 H
7 2 H
35 5 M
1 8 H
164 4 H
38 4 H
154 5 M
11 3 H
188 5 H
84 5 M
77 2 H
53 8 H
131 5 H
207 4 H
149 7 H
110 5 H
200 1 H
220 3 M
2 4 H
132 2 H
173 1 H
117 5 H
13 6 H
15 9 M
141 3 H
160 9 H
169 3 H
128 7 H
173 5 H
62 2 H
69 5 H
89 4 M
61 8 H
49 9 H
216 2 H
161 9 H
189 5 M
55 8 M
78 3 H
11 3 H
90 9 H
50 10 H
198 7 H
188 1 M
145 8 H
225 6 H
131 4 M
57 9 M
150 3 M
1 1 H
14 3 H
16 10 H
120 9 M
99 10 H
131 8 H
76 5 H
53 8 H
216 8 M
158 7 M
228 4 H
29 3 H
121 6 M
188 2 H
187 8 H
17 8 H
144 7 M
63 2 H
22 2 M
217 2 H
226 3 H
150 10 M
19 4 M
77 2 H
185 3 M
148 3 H
91 5 M
192 10 M
214 1 H
134 6 H
88 1 H
226 3 H
156 10 H
130 4 H
Consulta 29:
235 11 M
445 25 M
305 26 M
415 21 M
370 26 H
395 25 M
195 2 M
255 18 M
430 23 M
155 24 H
275 15 M
245 10 M
155 26 M
225 24 M
395 10 M
95 23 H
275 22 M
60 20 M
170 26 H
435 1 M
315 25 M
275 2 M
120 6 M
190 2 H
275 19 H
460 2 M
140 22 H
160 12 M
420 9 M
40 9 H
155 7 M
445 23 H
390 26 M
105 26 M
260 16 H
315 23 M
400 7 H
355 4 H
45 6 M
345 10 M
60 18 H
405 17 M
315 1 M
370 26 H
380 3 M
250 14 M
395 14 H
340 6 M
65 8 M
265 25 M
425 10 H
240 17 M
140 22 H
460 2 M
400 18 H
60 24 M
85 7 M
295 2 M
375 4 M
230 19 M
50 24 H
260 13 M
195 19 M
455 4 H
40 21 M
400 20 M
240 4 M
325 19 H
340 6 M
370 6 M
115 23 M
40 13 M
465 1 M
200 20 M
415 14 M
455 13 H
0 2 M
60 18 H
110 22 M
265 11 M
40 25 H
240 26 M
425 13 M
335 21 M
365 8 M
265 16 M
190 22 H
195 3 H
335 6 H
285 21 M
460 22 M
420 26 H
210 10 M
105 24 H
145 2 M
260 4 M
420 18 M
55 13 H
460 12 M
40 21 M
120 17 M
385 20 M
35 7 M
160 13 M
60 13 M
415 23 M
240 26 M
240 13 M
345 8 M
405 26 M
30 16 M
290 26 M
405 5 M
190 24 M
125 22 M
370 17 M
35 1 M
260 24 M
185 1 M
110 19 M
75 6 M
450 3 M
135 21 M
460 24 M
30 7 H
180 8 M
220 20 M
430 14 M
60 4 M
435 21 M
290 24 M
75 4 M
265 9 H
5 9 H
15 6 M
320 17 M
100 18 H
135 6 H
105 6 M
410 25 H
25 5 H
205 4 H
85 1 M
160 2 M
120 9 M
255 24 H
330 19 M
75 15 M
130 25 M
115 3 M
430 16 M
415 8 M
180 21 H
135 6 H
155 24 H
90 24 M
230 14 M
155 24 H
320 5 H
325 2 M
190 6 M
90 23 H
30 26 M
200 20 M
465 14 M
290 26 M
360 4 M
160 13 M
345 19 M
410 24 M
100 23 M
30 6 M
245 10 M
Consulta 30:
50 55 M
60 64 H
145 5 M
65 26 H
30 23 M
65 24 M
25 73 M
100 38 M
25 63 M
140 8 M
115 74 M
70 5 H
5 57 M
60 75 M
70 65 M
5 25 M
110 80 M
30 82 M
50 26 M
95 54 M
60 76 M
105 66 H
0 41 H
125 5 M
45 51 M
0 6 M
5 5 H
120 59 M
20 31 H
95 25 M
100 83 M
30 82 M
110 75 M
135 12 M
45 44 M
110 13 H
110 54 M
35 41 H
45 10 M
45 70 H
30 56 M
40 63 H
140 36 M
60 59 M
140 78 M
0 81 H
130 23 M
35 41 H
105 53 M
75 57 M
135 9 M
125 34 H
130 13 M
45 70 H
0 65 H
130 13 M
130 74 M
75 51 M
80 9 H
125 63 H
5 73 M
80 35 M
135 18 H
125 35 M
115 73 M
125 24 H
125 77 M
75 62 M
65 40 M
100 19 M
5 61 M
100 81 M
20 83 H
50 74 H
5 1 M
135 60 M
70 61 M
115 29 M
65 79 H
70 74 M
115 4 H
95 15 M
65 70 H
15 59 M
105 46 H
80 55 H
65 40 M
40 52 M
75 25 M
55 49 M
80 48 M
50 15 M
110 65 M
90 62 M
0 48 M
0 4 M
115 48 M
60 23 M
130 18 H
110 23 H
135 10 M
0 8 M
35 74 M
5 57 M
105 23 H
0 56 M
0 77 H
140 67 M
100 28 M
5 81 M
65 55 M
60 19 H
140 47 M
40 21 M
50 47 H
130 4 M
75 51 M
0 58 M
85 64 M
15 22 M
70 34 M
15 28 M
130 70 H
110 55 M
105 79 M
105 69 M
20 1 M
10 53 M
5 41 M
90 23 M
70 20 H
45 55 H
100 49 M
130 52 M
90 57 M
130 28 H
80 17 M
100 1 M
110 31 H
105 2 M
70 54 H
50 24 M
15 34 M
0 48 M
115 11 M
0 67 M
30 75 M
65 34 H
130 3 M
30 64 M
20 41 M
0 32 M
0 25 H
80 38 M
70 68 H
125 46 M
100 49 M
120 58 M
Consulta 31:
1350 4 M
870 5 M
395 4 H
455 1 M
215 4 M
1970 5 M
1175 1 M
1255 3 M
2055 3 M
2035 2 M
1640 1 M
450 4 M
715 6 M
295 4 H
935 2 M
1065 2 M
1515 2 M
2020 5 M
1320 3 M
165 6 M
895 4 H
580 6 M
1885 5 M
415 4 M
1655 5 M
755 5 M
790 1 M
85 3 H
65 2 M
445 4 H
1565 6 M
1870 3 M
1510 6 H
635 3 H
890 1 M
570 3 M
520 1 H
1195 4 H
1765 4 M
2035 2 M
2005 3 M
580 4 M
1630 2 H
1680 4 M
1935 3 H
220 3 M
555 3 M
770 5 M
395 4 H
1815 2 M
1915 2 M
1115 6 M
1195 4 H
695 6 M
255 1 M
850 2 M
590 3 M
160 6 H
475 1 M
2030 4 M
1880 6 M
35 3 H
560 6 H
60 6 H
745 4 H
2030 6 M
1740 3 M
1795 6 M
945 4 H
1505 1 M
1380 4 M
265 6 M
755 5 M
1120 1 H
305 3 M
1755 3 M
230 6 M
1985 2 M
430 4 M
1850 2 M
1720 5 M
465 6 M
235 3 H
590 1 M
265 6 M
150 4 M
2030 6 M
2055 1 M
450 4 M
1490 1 M
480 6 M
1885 3 H
1010 6 H
855 1 M
1600 4 M
605 1 M
440 3 M
275 1 M
1640 1 M
350 2 M
1880 2 H
770 1 H
735 5 M
1950 5 H
1295 6 M
1295 6 M
650 2 M
450 4 M
1210 6 H
270 3 M
945 6 M
1900 2 M
1055 1 M
2030 2 H
1465 2 M
305 5 M
1585 2 M
770 3 M
1980 2 H
840 3 M
15 2 H
1715 4 M
1445 4 H
480 4 M
1475 1 M
980 6 M
1865 2 M
1440 1 M
1305 1 M
680 4 M
1670 5 M
2050 4 M
635 5 M
245 4 H
80 2 H
1900 2 M
1830 4 M
320 5 M
600 5 H
1505 1 M
610 6 H
805 1 M
265 6 M
985 3 H
1330 2 H
275 1 M
255 3 M
55 5 M
1035 3 H
395 6 M
770 5 M
1495 6 M
1385 2 M
505 5 M
1820 5 M
480 4 M
650 2 M
1090 1 M
1330 6 M
2035 5 M
220 5 M
750 2 M
140 3 M
855 1 M
1270 1 H
1755 5 M
1015 4 M
815 4 M
835 5 M
170 5 M
865 6 M
1520 1 H
1525 1 M
1250 2 M
1500 5 H
1745 4 H
1100 4 M
1700 5 H
1455 3 M
65 4 M
1540 1 M
1355 1 M
635 2 M
1350 4 M
1590 1 M
1355 1 M
645 4 H
1195 4 H
1385 2 M
595 6 M
1850 4 M
1120 5 M
1740 3 M
55 3 M
1150 2 M
720 3 M
85 2 M
675 1 M
1605 1 M
895 4 H
2030 4 M
755 5 M
1745 4 H
1075 1 M
515 2 M
1840 1 M
320 3 M
1890 1 M
515 2 M
220 1 H
1395 6 M
1080 4 M
1350 2 M
100 4 M
1545 4 H
1810 6 H
1015 6 M
790 1 M
1895 4 H
350 5 H
455 3 M
1270 1 H
1970 3 M
790 1 M
1960 6 H
855 3 M
200 5 H
1900 4 M
1785 3 H
595 4 H
885 3 H
1950 2 M
1350 2 M
1050 4 M
1765 6 M
1140 1 M
2015 4 M
Consulta 32:
122 19 H
206 13 M
115 22 M
45 22 M
95 2 M
68 15 M
32 22 H
130 28 H
33 29 M
169 27 M
230 18 H
222 28 H
36 1 H
168 21 H
151 19 M
180 14 M
29 18 M
0 27 M
186 31 M
95 29 H
166 28 M
111 14 M
192 27 M
188 5 M
210 16 H
115 17 H
23 25 H
202 27 M
222 29 M
162 25 M
125 19 M
103 23 H
58 31 M
196 11 M
116 6 M
56 14 M
169 10 M
179 28 M
135 19 H
66 25 H
234 6 M
115 18 M
227 1 H
149 6 H
78 27 M
118 32 H
200 15 H
66 9 H
30 8 H
234 5 M
81 28 H
139 9 M
203 14 M
147 12 H
40 3 M
93 21 H
93 21 H
170 12 H
147 32 H
186 30 M
159 10 M
231 8 M
158 26 M
76 14 M
45 22 M
216 14 M
86 6 M
0 32 M
209 31 M
82 24 M
207 19 M
42 4 M
0 24 M
183 32 M
206 13 M
166 27 H
143 27 H
46 30 H
16 7 M
63 29 H
52 28 M
97 28 M
114 12 M
10 9 M
102 30 H
13 2 M
171 20 M
198 25 M
3 19 M
42 28 M
19 22 H
99 9 M
43 30 H
198 24 H
201 5 M
39 31 H
103 23 H
69 30 M
178 26 M
103 23 H
201 23 M
66 6 M
211 24 M
50 21 M
163 29 H
59 20 M
234 23 H
59 10 M
211 25 M
221 5 H
140 31 M
73 8 M
191 2 H
155 23 M
62 4 M
211 25 M
132 24 M
30 9 M
121 16 M
198 6 M
13 19 M
149 9 M
33 10 M
81 28 H
129 3 H
42 28 M
198 24 H
0 9 M
45 22 M
62 4 M
56 13 M
143 27 H
126 6 M
201 23 M
72 24 M
170 32 H
16 13 M
30 9 M
116 21 H
33 8 M
129 9 M
209 31 M
165 4 H
10 17 M
53 16 M
66 13 M
49 15 H
152 6 M
147 14 M
161 18 H
105 16 H
106 23 M
119 9 M
135 19 H
69 19 M
Consulta 33:
0 40 M
0 7 M
110 61 M
40 29 M
15 68 M
145 9 H
55 56 M
30 72 M
75 34 M
145 36 M
0 20 M
90 49 M
130 58 M
50 46 M
125 34 H
65 61 M
95 7 M
20 24 M
85 33 M
130 46 M
25 73 M
15 63 M
105 20 M
115 31 M
105 67 M
145 70 M
75 72 M
105 6 H
125 12 M
0 79 M
35 81 M
90 3 M
15 30 H
95 28 H
80 9 M
75 49 M
40 21 H
0 49 H
85 50 H
130 19 M
35 25 M
130 10 H
60 19 M
0 58 M
145 61 M
30 80 M
110 68 M
90 39 M
130 81 M
120 77 M
50 39 M
95 2 H
125 14 H
110 32 M
15 6 M
30 34 M
80 61 M
110 61 M
80 69 M
125 81 H
135 20 M
120 23 M
90 5 M
50 17 M
105 60 M
30 44 M
40 73 M
20 19 M
80 9 M
75 30 M
75 42 M
15 23 M
35 68 M
60 12 M
60 72 M
55 48 M
60 58 M
70 37 M
0 60 M
130 7 M
115 36 M
15 71 H
15 10 M
75 2 H
30 54 M
80 8 M
45 2 M
125 6 M
140 6 M
75 64 M
140 12 M
35 25 M
70 33 M
15 11 M
45 9 M
115 17 M
30 67 M
30 80 M
5 81 M
90 32 H
60 6 H
20 65 H
140 56 M
35 66 H
110 61 M
5 77 H
20 69 M
15 27 M
30 42 M
55 32 H
0 29 H
100 55 M
80 4 H
35 19 H
80 54 M
0 14 M
50 24 M
55 1 M
35 55 M
60 12 M
15 54 M
145 24 M
30 59 M
125 45 M
140 56 M
60 76 M
75 6 M
50 35 M
15 18 M
50 5 H
15 46 M
45 22 H
20 76 M
75 12 M
50 5 H
20 30 M
115 31 M
40 48 M
60 47 M
15 76 H
50 32 H
75 42 M
130 66 M
100 22 M
75 2 H
80 17 M
130 55 M
130 28 M
30 26 M
60 80 M
0 67 M
25 33 H
45 47 M
0 39 M
125 8 M
0 70 M
0 28 M
110 79 M
30 74 M
45 18 M
35 56 H
35 55 M
110 36 H
85 15 H
20 60 M
80 36 M
105 72 M
60 42 H
35 43 M
30 58 M
105 34 M
95 70 M
35 57 M
120 2 M
105 41 M
80 38 M
110 39 M
95 17 M
0 6 M
5 37 M
75 6 M
70 1 M
75 2 H
140 62 M
20 76 M
70 15 M
95 55 H
0 22 M
45 70 H
35 63 M
40 10 M
110 69 M
25 53 M
5 69 M
45 28 M
0 31 M
140 75 M
0 41 H
115 58 M
60 61 H
15 6 M
15 46 M
50 46 M
0 54 M
15 75 M
145 55 M
45 27 M
95 4 M
0 76 M
65 36 M
45 22 H
55 57 M
115 58 M
15 63 M
50 40 H
45 47 M
105 57 M
145 26 M
30 2 M
30 15 M
55 53 M
90 60 M
0 28 M
60 5 M
140 61 H
100 47 H
0 3 M
75 59 M
40 30 M
60 66 M
85 10 M
135 67 M
125 29 M
105 29 H
130 26 M
145 4 M
140 49 M
15 75 M
30 43 H
15 31 M
130 24 M
110 59 M
135 10 M
75 2 H
145 11 M
60 9 M
65 24 H
15 2 M
0 30 M
140 52 M
120 23 M
125 6 M
25 33 H
80 47 H
0 40 M
120 20 M
125 43 H
60 42 H
50 24 M
30 68 H
140 49 M
135 41 H
85 57 M
75 74 M
115 63 M
Consulta 34:
30 15 H
6 11 H
35 13 H
26 31 H
12 15 H
34 40 H
37 1 H
0 34 H
37 8 H
40 38 H
20 18 H
2 28 M
29 20 H
26 37 M
16 20 M
16 31 H
32 22 M
0 52 H
14 50 M
13 2 M
28 54 H
6 42 H
36 47 M
9 49 H
39 30 H
17 30 M
35 12 H
12 42 H
9 37 M
35 26 H
8 42 H
21 39 M
30 8 H
39 37 H
31 28 M
17 33 H
17 33 H
26 9 M
28 47 H
28 55 H
18 12 H
13 28 M
27 47 H
12 25 M
20 3 M
35 27 H
1 5 H
14 44 M
11 25 H
8 12 H
2 4 H
15 52 H
22 51 H
11 9 H
31 36 H
11 9 H
37 27 M
14 31 H
22 23 H
30 42 H
37 50 H
1 13 H
19 44 M
6 47 M
30 14 H
11 20 H
0 7 H
33 44 M
22 19 M
34 52 M
35 33 H
23 6 M
38 35 M
35 46 M
35 53 M
13 2 M
10 51 H
34 25 H
14 41 H
20 40 H
5 12 H
30 43 H
25 45 H
0 36 M
14 21 M
28 41 H
15 52 H
9 21 M
0 7 H
21 20 H
24 28 M
8 33 H
2 28 M
21 41 H
22 13 H
0 13 H
13 28 M
15 52 H
29 5 M
25 52 H
26 32 H
14 12 H
15 12 H
26 39 H
29 55 H
23 41 M
26 18 H
20 53 H
29 49 H
0 21 M
37 50 H
8 31 M
15 31 H
31 51 H
2 53 H
27 18 H
18 28 M
37 50 H
35 20 H
1 29 M
13 42 M
10 40 H
30 49 H
38 43 H
23 20 M
28 39 M
27 25 H
7 55 H
28 48 H
0 36 M
28 25 M
37 50 H
12 27 H
7 29 H
38 50 H
35 6 H
11 19 M
29 49 H
7 35 H
1 7 M
6 42 H
18 9 M
32 38 H
39 15 M
37 42 H
12 1 H
35 48 H
34 46 H
14 37 M
24 7 M
17 14 M
1 41 H
1 19 H
8 48 H
25 51 H
6 30 M
28 12 H
39 45 H
38 9 H
1 47 M
20 52 M
6 44 H
6 36 M
39 22 M
11 13 M
35 46 M
2 8 M
24 7 M
19 21 M
2 41 M
1 44 H
24 44 H
10 27 H
2 26 H
12 52 H
25 31 H
28 54 H
20 53 H
21 27 H
36 41 H
16 20 M
33 10 H
14 24 H
34 53 H
1 38 M
17 38 H
29 14 H
26 17 H
10 1 H
18 19 H
8 24 M
25 29 M
0 27 M
22 48 H
35 18 M
32 31 H
11 35 H
18 42 M
18 2 M
40 4 H
34 53 H
24 1 H
1 19 H
14 10 H
0 49 H
0 15 M
8 35 H
15 34 H
33 2 M
37 28 H
10 27 H
6 54 M
27 54 H
0 52 H
40 2 M
0 54 M
30 49 H
17 47 H
23 43 H
33 2 M
9 55 M
20 24 M
3 32 H
5 6 M
14 31 H
0 31 H
24 16 H
30 48 M
26 24 H
33 51 M
15 46 M
16 54 H
27 3 M
40 23 M
0 23 H
21 48 H
29 33 M
16 45 H
28 39 M
11 35 H
19 31 H
25 9 H
34 33 H
9 40 H
13 22 M
2 14 M
23 48 M
13 8 H
17 14 M
33 9 M
35 40 H
38 44 H
36 48 H
26 3 H
1 31 H
30 6 M
36 48 H
19 47 H
12 35 H
6 38 H
36 14 H
15 3 M
16 48 M
0 44 H
7 24 H
19 31 H
2 53 H
6 15 M
10 33 H
39 24 H
39 43 M
33 16 M
2 22 M
13 1 H
35 4 M
0 46 H
35 4 M
30 28 H
13 38 H
33 52 H
39 45 H
28 40 H
38 28 M
16 54 H
31 15 H
19 37 M
26 37 M
12 35 H
35 20 H
30 15 H
27 40 H
31 16 H
0 15 M
27 52 M
13 46 H
22 40 M
31 7 M
34 54 H
0 50 H
26 2 M
6 15 M
24 23 H
40 11 H
31 49 M
15 14 H
2 41 M
34 18 H
30 41 M
37 29 H
5 13 M
33 45 H
23 30 H
28 12 H
32 52 H
30 21 H
25 31 H
11 27 H
10 40 H
35 53 M
33 23 M
25 38 H
27 38 M
16 31 H
30 35 H
6 25 M
18 25 H
1 40 H
27 40 H
7 42 H
6 33 H
8 29 H
36 33 M
14 3 H
18 33 H
0 28 H
1 1 H
9 35 H
33 53 H
23 55 M
27 4 H
31 30 H
22 40 M
28 53 M
0 32 H
6 34 H
8 19 H
21 55 H
15 23 H
4 37 M
0 25 H
0 23 H
37 35 H
24 15 H
1 53 H
5 12 H
1 10 H
36 20 H
17 38 H
0 46 H
13 49 M
18 22 M
35 13 H
7 17 H
11 6 M
21 53 M
11 19 M
31 50 H
20 46 H
21 34 H
5 42 H
20 12 H
16 14 H
11 54 M
13 31 H
23 20 M
17 43 M
38 49 M
25 15 M
39 29 M
0 25 H
2 26 H
24 21 M
13 10 H
10 35 H
4 32 H
36 42 H
23 28 H
0 32 H
18 38 H
39 37 H
0 1 H
30 15 H
35 5 H
23 55 M
19 50 M
8 12 H
28 12 H
10 23 M
27 4 H
5 3 H
6 11 H
40 3 H
19 37 M
39 16 H
4 13 H
9 5 M
14 15 M
4 32 H
29 19 M
33 23 M
38 1 H
34 40 H
7 28 M
11 36 H
22 30 H
18 2 M
29 33 M
18 9 M
19 29 M
17 5 H
5 4 H
8 49 H
33 17 H
5 46 H
0 27 M
36 6 H
34 53 H
31 16 H
17 23 M
15 41 H
9 23 H
39 15 M
24 36 H
37 43 H
9 42 H
3 53 H
27 54 H
30 49 H
31 37 H
17 43 M
32 10 H
19 52 H
25 16 H
30 35 H
5 33 H
0 30 M
19 52 H
13 20 H
38 1 H
20 11 H
29 47 M
24 1 H
6 16 H
30 20 M
21 6 H
2 41 M
35 39 M
6 17 H
5 30 H
20 45 M
26 17 H
33 2 M
38 29 H
1 1 H
6 21 H
38 30 H
7 38 H
12 28 H
22 43 H
0 32 H
18 11 H
1 46 H
0 38 H
27 46 H
26 53 H
25 51 H
0 5 H
4 4 H
26 32 H
13 46 H
11 54 M
33 23 M
2 28 M
2 1 M
19 8 M
Consulta 35:
500 1 M
312 3 H
256 4 M
422 1 H
400 1 H
530 3 H
1 1 H
235 4 M
366 1 H
571 3 H
352 4 H
400 1 H
205 4 H
366 1 H
106 1 H
577 1 M
363 2 H
363 2 H
68 3 H
45 1 M
573 3 M
323 1 H
182 2 H
507 4 H
535 4 H
266 2 H
212 1 H
74 3 H
214 3 H
490 2 H
275 4 H
269 4 H
226 1 H
47 3 H
312 4 M
172 3 H
144 4 M
328 3 M
193 4 M
134 2 M
132 3 M
76 2 H
383 3 H
402 1 M
328 2 H
410 4 M
565 3 H
382 4 M
234 4 H
508 4 M
127 1 H
154 2 H
17 1 M
389 4 M
548 1 H
159 3 H
22 2 M
129 1 M
468 2 H
55 3 M
275 1 H
74 4 M
442 2 M
515 4 M
467 3 H
543 3 H
295 1 H
457 1 H
542 4 H
4 1 H
230 2 H
127 2 M
391 2 H
384 2 H
562 4 H
384 2 H
559 2 H
14 2 H
64 2 M
89 3 H
389 3 H
195 3 M
67 4 M
275 4 H
375 3 H
241 1 M
148 2 M
121 1 H
25 4 M
183 1 H
405 2 H
298 4 M
471 1 H
136 4 H
320 3 H
54 3 H
451 1 M
294 2 H
507 4 H
496 2 H
561 2 M
246 2 M
167 3 M
578 4 M
13 2 H
547 1 H
55 2 H
93 4 H
318 1 M
86 4 H
191 1 H
406 2 H
514 4 H
149 4 H
480 4 M
487 4 M
534 4 H
191 1 H
461 3 M
522 3 H
489 3 M
527 1 H
253 2 M
302 1 H
401 1 H
215 3 H
470 1 H
102 3 H
237 2 H
439 3 H
568 2 M
227 4 H
351 1 H
393 1 H
364 2 H
261 4 H
129 4 H
275 4 H
353 1 M
542 4 H
536 3 H
337 2 M
39 4 M
325 4 H
41 3 M
6 2 H
190 1 H
248 1 M
478 1 H
568 2 M
460 3 H
159 3 H
384 3 M
104 2 H
417 4 M
55 2 H
237 3 M
72 4 H
